!4+ABv	  00000000000000000000000017F7E829  EEEE3333444411112222888833334444666633332222DDDDEEEE
  ="J$FNl	  00000000000000000000000017F8F945  5555CCCC66668888BBBBBBBB0000CCCCEEEE11115555CCCC2222
  =(PcKi*	  0000000000000000000000004B0F7222  88882222222200000000CCCC6666AAAA77778888BBBB3333FFFF
  =+t&H#0	  0000000000000000000000000EC0FD9F  AAAACCCCBBBB2222222277777777666644443333AAAA66660000
  =/qr\NR	  0000000000000000000000001BA1704D  BBBB8888BBBB8888DDDDEEEE6666BBBB000077772222FFFFAAAA
  =2G^9{-	  000000000000000000000000000809EE  5555DDDD1111CCCC9999BBBB0000BBBBCCCCFFFFCCCC44443333
  =7|=de~	  000000000000000000000000498A022C  FFFF7777CCCC77777777444455559999888833337777CCCC5555
  =;DLK<3	  0000000000000000000000001E2BA893  DDDD7777FFFF666633333333BBBBDDDD1111DDDDCCCC8888CCCC
  =>;%M]Z	  00000000000000000000000003BF3037  44449999AAAACCCC5555BBBBAAAA333344447777444444448888
  =?rn=%s	  0000000000000000000000003771BF75  111199991111AAAA44441111AAAA888822224444000011112222
  =I]rh_G	  0000000000000000000000001BA3FD2E  CCCC4444CCCC11110000AAAA3333CCCC77777777222200003333
  =X"! "8	  0000000000000000000000002F38D6D6  6666777799999999AAAAFFFFBBBBEEEE77778888CCCCFFFFBBBB
  =Y/tAP7	  000000000000000000000000071F21FD  11114444FFFFFFFF2222BBBBEEEE1111CCCC5555BBBBCCCCAAAA
  =YBbF" 	  0000000000000000000000000416D9B8  8888EEEE1111333366669999FFFF5555CCCC44447777EEEE9999
  =ean6Zj	  0000000000000000000000001623E9E3  7777EEEE666655552222EEEEBBBB99999999BBBB66663333CCCC
  =g4Vst$	  0000000000000000000000000191A127  EEEEEEEE222266662222AAAAEEEE7777CCCC9999FFFF55558888
  =k,n0'P	  0000000000000000000000002ED3A758  33331111FFFFEEEE000033339999888899990000FFFFCCCC9999
  =lzsau2	  000000000000000000000000333F73AC  AAAADDDD00002222FFFF2222EEEECCCC66664444888844445555
  =n\iV#.	  000000000000000000000000340DF262  DDDD33331111BBBBBBBB5555DDDD4444BBBBDDDDBBBBFFFFFFFF
  =p`snd&	  000000000000000000000000321CD173  EEEEAAAA0000AAAA8888AAAA44440000666688881111AAAACCCC
  =pc#6#D	  0000000000000000000000003B89D6F8  333344444444CCCC88880000DDDD55557777FFFFDDDDAAAA9999
  =x]'y:!	  000000000000000000000000453C55F9  5555BBBB88883333CCCC33330000444433339999DDDD8888EEEE
  =ym*T7b	  000000000000000000000000084CC5EB  DDDD9999CCCCDDDD0000777733337777CCCCBBBB777733334444
  >)@1Y-v	  0000000000000000000000003633E745  5555BBBB7777777788880000BBBBDDDDFFFFBBBB7777CCCC2222
  >*'e/WK	  00000000000000000000000043A6CF53  7777BBBBAAAA88887777DDDD5555DDDDCCCCFFFF1111CCCCCCCC
  >*IGO:8	  000000000000000000000000014DF36D  DDDDFFFF9999DDDDAAAADDDD55558888CCCC66662222DDDDAAAA
  >-a/VNj	  000000000000000000000000329586FF  CCCC77772222AAAA5555AAAA2222CCCCEEEEFFFF999900000000
  >/D|ep<	  0000000000000000000000002DBE2D09  0000DDDD999977771111AAAAFFFFBBBB11118888CCCCFFFFEEEE
  >9Qp^\!	  00000000000000000000000040E85B22  555500002222666600006666BBBB11117777000066663333FFFF
  >:l&i1B	  0000000000000000000000001A3E828C  33333333AAAA555544441111EEEEBBBBFFFF8888FFFFEEEE5555
  ><0P/hv	  0000000000000000000000001204DA9D  222288887777DDDDBBBB8888AAAAFFFF3333555522222222AAAA
  >@P=l^-	  0000000000000000000000002A3CFDE9  EEEECCCC77777777CCCC33335555BBBBAAAA4444BBBB1111EEEE
  >Iyqm{D	  0000000000000000000000003E9E5C01  EEEE111155555555FFFF4444444422222222BBBBAAAA44446666
  >KI=^9U	  0000000000000000000000003C0DB029  22226666EEEE8888FFFFEEEE1111FFFF2222AAAAAAAADDDDEEEE
  >[&@ HW	  0000000000000000000000004DFC1A86  11118888FFFF9999FFFFEEEEFFFF55550000666611110000BBBB
  >d9U_E.	  0000000000000000000000004D87E5CC  1111CCCC77774444EEEECCCC9999777722227777BBBBAAAA5555
  >f-1}8$	  00000000000000000000000050B9C7D6  AAAACCCCEEEE555544445555BBBBEEEEEEEE2222FFFFFFFFBBBB
  >jDSms}	  0000000000000000000000002E267252  CCCC8888333388883333AAAA55550000EEEE55559999CCCCFFFF
  >pr[bG.	  0000000000000000000000002C6A5F87  CCCC11114444FFFF8888BBBB00006666CCCCBBBB4444FFFF8888
  >yYs,w.	  00000000000000000000000050A88B9B  4444AAAA55554444DDDDCCCC7777333344441111CCCC88884444
  >ytuV<3	  00000000000000000000000035D9A9B7  CCCCDDDD0000DDDD444499997777AAAADDDD0000AAAACCCC8888
  >z[Im>a	  0000000000000000000000000B826FF0  66660000555500002222AAAABBBBDDDDAAAA0000666655551111
  >ztwasy	  00000000000000000000000036EB3469  666699993333444444441111EEEE2222AAAA000088889999EEEE
  >{D2T+`	  00000000000000000000000035F9AFB8  0000FFFFAAAA777722229999111100005555DDDD9999EEEE9999
  ?#js%pE	  000000000000000000000000510FC117  333399999999AAAABBBB0000CCCCEEEE22227777FFFF66668888
  ?2.juxj	  000000000000000000000000234C371A  CCCC2222FFFFCCCCCCCCAAAA00004444FFFF8888AAAAAAAA7777
  ?6i28sK	  000000000000000000000000385FC0B2  DDDD999988887777BBBBBBBB66667777FFFF5555CCCCEEEEFFFF
  ?BdJ9}+	  00000000000000000000000029CF8DE7  AAAA000077776666777777775555DDDD7777EEEEAAAA99998888
  ?Bj^V9D	  0000000000000000000000000B143135  33333333DDDDBBBBEEEEFFFF888833339999BBBB000055552222
  ?J^i3.`	  00000000000000000000000024072987  55559999EEEE8888BBBB000099993333CCCC2222AAAAFFFF8888
  ?LS~>[T	  0000000000000000000000001CE72E01  77770000FFFF88881111CCCC88881111CCCC3333888844446666
  ?S.(oz6	  000000000000000000000000135C46C8  CCCC55554444CCCCAAAAAAAA9999EEEEAAAA6666AAAA99999999
  ?SO5M v	  00000000000000000000000014E419BA  EEEE2222DDDD22225555AAAA55552222CCCCCCCCEEEE88887777
  ?W'l4mi	  00000000000000000000000010086F22  7777AAAA00003333EEEE00009999EEEE6666444422223333FFFF
  ?^[6#Zn	  000000000000000000000000106495B7  DDDDDDDD999922224444CCCCCCCC6666AAAA9999EEEECCCC8888
  ?`elEkL	  0000000000000000000000002301B700  6666000055555555CCCCEEEE11110000EEEE4444DDDD00001111
  ?jj"kc5	  000000000000000000000000286457A7  FFFF9999EEEE888811118888EEEE7777CCCC33338888DDDD8888
  ?v{q&?;	  0000000000000000000000001D01C583  4444DDDD6666BBBBBBBB44446666666699994444CCCC9999CCCC
  ?x&%jhd	  0000000000000000000000000818EA20  9999888888881111CCCC0000FFFF2222CCCCDDDDDDDD66661111
  ?|&&?HZ	  00000000000000000000000048C5762E  AAAAEEEE33339999CCCCFFFFAAAADDDD99990000DDDD00003333
  @"|U /0	  0000000000000000000000000C39DAD2  BBBB3333EEEEBBBB2222BBBB333388882222555533334444FFFF
  @&NweK7	  0000000000000000000000004E077E05  444444445555AAAA8888DDDD33332222DDDD0000BBBB00002222
  @<"ND67	  00000000000000000000000034D45EA4  444455557777000099999999999933338888AAAAAAAA6666DDDD
  @>xAu?x	  000000000000000000000000411596C0  0000AAAAEEEE3333EEEEAAAA6666333344443333EEEE44441111
  @Icf>`W	  00000000000000000000000044ED43D1  4444999933337777777711113333DDDDDDDDAAAA8888FFFF6666
  @LTMH<3	  00000000000000000000000003E57E3D  5555EEEE000044444444CCCC777700004444BBBB55558888AAAA
  @OtdK!P	  0000000000000000000000001FA5DAFE  FFFFBBBBDDDD0000FFFFBBBB1111555522229999444477773333
  @^aOdRB	  0000000000000000000000001195F6AF  AAAAAAAADDDD7777FFFF6666FFFF99990000AAAA333355550000
  @a=umbl	  0000000000000000000000001E9EE7FB  000099991111DDDDAAAACCCC4444BBBB1111BBBB222222224444
  @q9~YeX	  0000000000000000000000002DE3EB53  9999000077778888666600004444FFFFCCCC99995555CCCCCCCC
  @vnU";*	  00000000000000000000000018260CFD  55558888888866664444AAAA22225555AAAABBBB8888CCCCAAAA
  @x(W'8|	  00000000000000000000000006D65FF0  3333CCCC6666FFFF555533334444777766665555666655551111
  @|Rsu@~	  00000000000000000000000047F70202  CCCCDDDDEEEEFFFFFFFF66662222DDDD33330000AAAADDDDFFFF
  @|Um w;	  00000000000000000000000030C73C2C  BBBB8888CCCCAAAA77773333000099992222FFFF5555CCCC5555
  A-rio",	  00000000000000000000000043ECCA39  FFFFCCCC00005555BBBBDDDD5555FFFF2222DDDDBBBB4444EEEE
  A0GYZ(0	  00000000000000000000000032187606  FFFF000033337777BBBB444444446666EEEE6666BBBB8888BBBB
  A9F'mB9	  0000000000000000000000000B459D77  CCCC66664444AAAA8888111122225555BBBB9999FFFF00008888
  A=l@"O.	  0000000000000000000000001511B1E4  4444AAAA888888888888FFFFEEEE7777FFFF7777EEEE2222DDDD
  AAv14"t	  0000000000000000000000003B02B610  7777AAAA333377775555FFFFDDDD5555FFFFCCCCFFFFBBBB1111
  AF*N!H|	  0000000000000000000000003C713DB5  00003333888811111111444455557777FFFF9999FFFFDDDD2222
  AGeXK:9	  000000000000000000000000035F7D36  DDDD88881111888877779999222277775555111166661111BBBB
  AP&TN\Z	  000000000000000000000000248756E7  77772222FFFF2222999966666666FFFFCCCC4444111199998888
  APjpO4"	  0000000000000000000000001AEEE89A  22223333777711115555777733334444FFFFCCCCFFFF22227777
  AS`LpiP	  0000000000000000000000002A149187  5555BBBBBBBB7777222266660000AAAA7777CCCC2222FFFF8888
  A^iif{<	  0000000000000000000000001A789F7A  33338888CCCCAAAACCCC4444BBBBBBBBCCCC55557777CCCC7777
  Aa~ou"X	  0000000000000000000000004ECEF484  6666BBBB00001111AAAA99994444EEEECCCCBBBB33330000DDDD
  At44I/`	  00000000000000000000000017FBD791  22225555AAAA6666EEEE2222BBBBEEEE55554444BBBB33336666
  AuVj,D&	  0000000000000000000000004BBB694C  5555AAAA11117777AAAA6666BBBBDDDD99995555222222225555
  B$/QaO8	  000000000000000000000000243688DB  CCCC7777CCCCDDDD5555777788883333BBBB8888BBBB44444444
  B&%f)<N	  00000000000000000000000045F75BBA  8888222222226666BBBB9999111199991111DDDD444488887777
  B*>0{Ks	  0000000000000000000000002C1699E7  888822225555AAAAEEEE88884444BBBBEEEE5555EEEE99998888
  B+KO9+z	  0000000000000000000000001511C613  BBBB0000BBBB4444111100000000EEEEFFFF777777770000CCCC
  B9<z&(t	  000000000000000000000000270A7F8C  BBBB7777FFFF4444DDDD2222AAAADDDDBBBB8888EEEEEEEE5555
  B;qUnfa	  00000000000000000000000028E0231A  FFFFCCCC444433334444EEEE0000CCCC4444CCCCEEEEAAAA7777
  BK_B^Go	  0000000000000000000000002964483A  BBBB7777BBBBFFFF999922222222CCCC99996666AAAA00007777
  B["-<8f	  0000000000000000000000000BEA9AA9  AAAACCCCCCCC66660000CCCCDDDDCCCC1111DDDD44445555EEEE
  Bfx^U=}	  000000000000000000000000165E2880  22226666BBBB88884444DDDDFFFFBBBB22227777555588881111
  Bi"\hZe	  00000000000000000000000050CC9915  2222111122221111000066662222CCCC44445555999977772222
  Blgl,}*	  000000000000000000000000481C6668  3333EEEE6666EEEEFFFF9999FFFF6666BBBB6666000077779999
  Bqz"I<7	  0000000000000000000000004379E5B0  EEEE666600000000CCCC6666CCCC0000EEEE5555999999991111
  BtK$!:-	  000000000000000000000000515A39F0  FFFFAAAA000077773333DDDD5555888833331111444455551111
  B{I.]zM	  00000000000000000000000016A3636D  777766660000CCCC9999999933330000111177772222DDDDAAAA
  C%1NLMh	  000000000000000000000000297FE2E5  DDDDBBBB6666EEEECCCC11118888000033332222777722222222
  C*iR]aq	  0000000000000000000000003CDCDAE6  0000CCCC55559999DDDD00006666AAAA2222CCCC00002222BBBB
  C2;k^Yd	  0000000000000000000000004680F1BB  9999AAAABBBB8888EEEE666666667777BBBB2222CCCC66664444
  C6cG1{#	  000000000000000000000000201F195F  AAAACCCC99995555FFFF3333AAAA888822223333EEEEAAAA0000
  C7)rG=b	  00000000000000000000000031CB0AAB  33335555FFFF7777AAAA7777DDDD111122221111666677774444
  CKJS;*!	  00000000000000000000000042EE3EC1  FFFF11118888BBBB2222BBBBDDDDFFFFAAAAFFFF555588886666
  CU=%DF}	  000000000000000000000000480A719C  BBBBDDDDFFFF111166666666555522226666CCCC999999995555
  CV|>FF(	  0000000000000000000000004CC9D6AD  DDDD11114444CCCCCCCCFFFF5555222222224444DDDD9999AAAA
  C]-iG>\	  0000000000000000000000002DAF2A20  5555999900002222000077770000AAAADDDD9999DDDD66661111
  C]3*k!x	  00000000000000000000000031091110  11112222EEEE99995555CCCCEEEE8888111188888888BBBB1111
  CaW R2x	  00000000000000000000000047C1E741  9999222288887777CCCC3333DDDD2222DDDD0000111100006666
  Cf?[[G{	  0000000000000000000000001EBC8798  7777FFFF00002222444477771111CCCC11115555666688889999
  Ck ;UjG	  00000000000000000000000039A81DA7  EEEE44441111777766669999FFFFDDDD999933332222DDDD8888
  ClZy$&"	  000000000000000000000000239AA25C  FFFF5555999944442222BBBB888822226666EEEE9999DDDD5555
  CrBBn)w	  0000000000000000000000004A495520  0000BBBBAAAA99997777999922229999EEEE0000666666661111
  Ct{9CSW	  0000000000000000000000004E54DED3  DDDD222255557777BBBB8888BBBB2222CCCCBBBBAAAA4444CCCC
  D!D8o"b	  0000000000000000000000000A6561F7  44443333EEEEAAAACCCCFFFF9999888877778888AAAA88888888
  D%%97p!	  000000000000000000000000338F20B4  BBBB99997777BBBB8888888833332222FFFFDDDD33331111DDDD
  D*|.Bfk	  0000000000000000000000003184671F  6666FFFF66669999CCCCDDDD22225555999955550000EEEE0000
  D-@lDY%	  00000000000000000000000044266504  DDDD9999FFFF1111AAAA7777333344446666000088888888DDDD
  D.YFiwT	  0000000000000000000000002A0505BA  00002222EEEE6666CCCC0000FFFFFFFFFFFF1111222288887777
  D0];yio	  000000000000000000000000503702AB  4444EEEE222288881111CCCC9999DDDD00009999EEEE77774444
  D3r=W&Y	  000000000000000000000000262D14E5  EEEE8888333355552222FFFF4444555555556666555522222222
  D?t=MmF	  00000000000000000000000020F3FECD  CCCC7777CCCC44448888333322222222DDDD444400007777AAAA
  DB 1,ib	  0000000000000000000000004136FE61  77779999111199995555AAAA00005555DDDD00006666EEEE6666
  DBsh{cR	  0000000000000000000000001930E003  FFFF777700001111000000005555555500005555AAAA1111CCCC
  DC^zl}^	  000000000000000000000000046F72F6  CCCC55553333DDDDEEEEAAAACCCC55558888EEEE33335555BBBB
  DEIVjvc	  000000000000000000000000308AF6C8  FFFFDDDDFFFF00003333333322225555AAAAFFFFAAAA99999999
  DL\3_7a	  00000000000000000000000018FE7C32  99994444FFFF666666661111BBBB6666DDDD0000FFFF6666FFFF
  DO*7mtY	  00000000000000000000000033F31DDE  CCCCDDDD4444FFFFBBBBFFFF7777BBBB33333333777711113333
  D[~;<}n	  0000000000000000000000004045E9CF  777700009999AAAA0000BBBBBBBB333344448888000033330000
  DfSPnW[	  00000000000000000000000038453E67  44441111FFFF555555558888FFFF8888DDDD4444AAAA11118888
  DiNb$&H	  00000000000000000000000038AD1C46  888822222222000033330000BBBB22229999888822224444BBBB
  Dn(}{Q1	  000000000000000000000000327E2BFE  7777888855558888000044441111AAAABBBB7777777777773333
  Dox6/ad	  0000000000000000000000002232E507  AAAAEEEEDDDDDDDD3333555511112222AAAA9999FFFF77778888
  Drlv[^h	  0000000000000000000000001F0A8EDF  77776666CCCC2222FFFF9999DDDD77771111CCCC999922220000
  DtLWLwM	  0000000000000000000000001890EF75  DDDD44447777BBBB8888AAAAAAAA8888DDDD9999000011112222
  Dvb^/>i	  000000000000000000000000124F1E55  333311112222FFFFDDDDAAAA22225555DDDDDDDDAAAA33332222
  E  8yPf	  000000000000000000000000129BE6EC  55555555FFFF1111EEEE8888EEEE222222220000444400005555
  E ChS1c	  00000000000000000000000004093ACE  1111DDDDAAAA1111555522229999EEEE6666BBBB0000EEEE3333
  E x&Q"1	  00000000000000000000000026C64E41  11115555AAAABBBB777777777777CCCCCCCCFFFF222200006666
  E$s`5.t	  0000000000000000000000000A1DFCC2  EEEEAAAAAAAAEEEEEEEE6666FFFF00007777CCCCBBBB1111FFFF
  E&7~0jg	  00000000000000000000000031B8240A  FFFFAAAADDDDDDDD11118888EEEE8888EEEE3333999977777777
  E*Q(m%9	  00000000000000000000000049C0ECE8  9999444422227777AAAA11113333666688882222FFFFFFFF9999
  E9Y-'_o	  000000000000000000000000019F79CE  9999EEEE77771111AAAA0000CCCCFFFF22223333DDDDEEEE3333
  E@ZC/s<	  000000000000000000000000347F802C  8888AAAAFFFFAAAABBBB6666EEEE2222AAAA66661111CCCC5555
  EG)K_WY	  000000000000000000000000401105A6  6666FFFFBBBB5555EEEECCCC88880000BBBB0000CCCC6666BBBB
  EHV{<1m	  00000000000000000000000031566B51  444455558888555544441111AAAAFFFF33332222DDDD77776666
  EJ\F}wP	  0000000000000000000000002D9B7175  2222666611119999FFFF88888888EEEE00007777EEEE11112222
  EQJp?r,	  00000000000000000000000019318FCE  44448888333311117777FFFF8888BBBBAAAA9999FFFFEEEE3333
  EQUJKxX	  00000000000000000000000041548436  8888444422229999BBBBDDDD0000999966665555BBBB1111BBBB
  ERfd sm	  00000000000000000000000009DAEBA9  11114444CCCC44443333CCCCCCCCEEEEEEEE8888BBBB5555EEEE
  EY)qT!o	  0000000000000000000000004944C6D8  888833338888CCCCAAAA333355558888DDDDEEEE222244449999
  E[}N}21	  0000000000000000000000003C5C5537  9999888855556666777711112222BBBB55552222FFFF44448888
  E]+8bvN	  0000000000000000000000001DB483EC  BBBB77779999FFFF333355556666222266666666333300005555
  Ef,<HLd	  00000000000000000000000006EE796C  FFFFEEEE000044444444CCCC2222FFFF33331111FFFF88885555
  Ej;ZC@&	  0000000000000000000000004B903F80  6666FFFF777755551111BBBB99994444CCCCCCCC222288881111
  Ejf3d(K	  0000000000000000000000004C920A73  FFFF000000007777CCCCAAAA9999BBBB000099998888AAAACCCC
  EkAZ0 x	  00000000000000000000000010CF0153  CCCCCCCC66662222EEEE33337777FFFFAAAA5555FFFFCCCCCCCC
  Ew<u,a3	  00000000000000000000000006CF320A  EEEEFFFF8888DDDD1111EEEE44448888DDDDAAAA333377777777
  E}6M![H	  000000000000000000000000459032BC  22224444EEEEBBBB666644449999DDDD555555559999FFFF5555
  E}G]7Te	  0000000000000000000000001BE24642  CCCC9999CCCCDDDDEEEE22224444FFFF1111000077779999FFFF
  E~h\`r%	  00000000000000000000000024113CFB  BBBBFFFFAAAA3333BBBBFFFF9999444444440000DDDD22224444
  F%~ac!R	  00000000000000000000000017BCC060  66665555000077776666111100008888FFFFBBBBEEEE22221111
  F7vL/Tq	  0000000000000000000000003153E653  5555888888880000FFFF88885555222222220000AAAACCCCCCCC
  F=]&E\%	  00000000000000000000000021CAF876  BBBB3333EEEE22224444BBBB9999999933332222BBBBDDDDBBBB
  FA_ '"+	  00000000000000000000000048C6C27F  33339999AAAAFFFF777711114444111155557777DDDD88880000
  FF86n4d	  0000000000000000000000000CB10215  FFFF2222BBBB33336666CCCCFFFF88887777EEEE888877772222
  FG} ^sY	  00000000000000000000000041F2AD21  2222CCCC6666BBBB0000777788882222FFFF7777666622226666
  FH{u6i;	  0000000000000000000000000EBB9A7A  444455551111BBBBAAAAEEEE6666CCCC444422228888CCCC7777
  FOb]'\$	  0000000000000000000000000D51F35E  EEEEEEEE5555111188889999EEEE1111BBBB9999FFFF99993333
  F\AFFr9	  00000000000000000000000008AD2E9C  8888555500008888EEEE555533339999DDDD4444888899995555
  FeGXday	  00000000000000000000000035EBE672  777711111111FFFF99995555222299998888EEEEEEEE2222FFFF
  Fq?ad$ 	  0000000000000000000000002351210E  444488884444FFFF00006666BBBBEEEE88886666FFFFAAAA3333
  F}m|^)&	  0000000000000000000000001978B6A0  9999FFFF22228888333355552222000033333333EEEEEEEE1111
  F~y{iVb	  00000000000000000000000019BD406E  DDDDBBBB44440000333333337777EEEEAAAA11117777CCCC3333
  G#D?wS,	  0000000000000000000000001BE20CB9  2222FFFFBBBBDDDD1111222299991111EEEE0000CCCCCCCCEEEE
  G'&HRpO	  00000000000000000000000018AD3A0F  CCCCCCCC22224444CCCCBBBB77770000AAAA7777FFFFFFFF0000
  G2yb({\	  0000000000000000000000001323C8F0  FFFF99993333BBBB88882222CCCC666699994444999955551111
  G9+Gdpo	  0000000000000000000000001CC7E12A  AAAA1111222299996666333344449999888877774444DDDD7777
  G9DH;n 	  00000000000000000000000034DB5D04  7777FFFFFFFF3333444411113333EEEECCCCBBBB00008888DDDD
  GJ;A_LN	  0000000000000000000000004A9AF09C  EEEE55558888000066665555AAAA222288885555EEEE99995555
  GNu[EtC	  00000000000000000000000008BAAA0C  111199998888CCCC222288887777555500007777222266665555
  GON~7xG	  00000000000000000000000036B1BC5C  FFFFCCCC7777FFFF7777EEEE11111111BBBBCCCC7777DDDD5555
  GSF\E%G	  000000000000000000000000349C8479  55558888AAAAAAAADDDDAAAA222233339999CCCC33330000EEEE
  GXe:ee)	  0000000000000000000000002B79E59C  DDDD6666888855554444888844447777AAAA4444555599995555
  Gcj2l<z	  00000000000000000000000005087DD5  7777EEEE111144448888BBBBFFFF33333333DDDDEEEEBBBB2222
  Ge%T~YS	  000000000000000000000000492D9F2C  77774444AAAA5555BBBBBBBBBBBBDDDD222299996666CCCC5555
  Gg|klt2	  0000000000000000000000003B58FE56  CCCCEEEEBBBB0000000055552222999933339999BBBB7777BBBB
  Gh6@DL@	  0000000000000000000000002FEC0CAA  BBBB99998888AAAA77772222DDDDEEEEBBBBCCCC777755557777
  Gjk'=WS	  0000000000000000000000000EB00A85  88888888BBBB9999AAAA1111DDDD4444FFFF1111AAAA88882222
  Gx*1WKU	  0000000000000000000000000121A4EE  000088881111777700002222BBBB7777BBBB5555DDDD44443333
  H'eJ}?7	  000000000000000000000000268A5227  BBBB1111DDDD8888AAAAFFFF5555333322220000EEEE55558888
  H1&5^f+	  0000000000000000000000003BAD4844  4444CCCC8888CCCC999966666666AAAACCCC6666CCCC4444DDDD
  H1Q8P(!	  0000000000000000000000001B06FE04  4444CCCCBBBBAAAAEEEEBBBB22226666AAAA9999BBBB8888DDDD
  H1z&{'B	  00000000000000000000000014D8AB0B  3333BBBBFFFFBBBBEEEE0000DDDD99994444CCCC000011114444
  H4\b`'f	  00000000000000000000000015C6B54B  777700003333EEEE0000BBBBCCCC77777777CCCC1111DDDD4444
  H5&n&$2	  0000000000000000000000000EB1F6AA  6666CCCC0000BBBB444488886666555599994444555555557777
  H5WgW%.	  000000000000000000000000168CD327  9999CCCCDDDD0000AAAAEEEE7777BBBBBBBBAAAADDDD55558888
  H7f}Xys	  00000000000000000000000015633759  9999333377776666BBBB3333FFFFCCCC9999777777772222EEEE
  H?6VqYS	  0000000000000000000000003AEF5CD5  555566668888DDDD6666BBBB22221111DDDDCCCC7777BBBB2222
  HF"@CL]	  0000000000000000000000000C1E844C  7777DDDD1111333377774444DDDD666633335555BBBB22225555
  HS5 5vf	  0000000000000000000000002FAC97DD  DDDD33331111999944446666EEEEAAAAEEEE44442222EEEEAAAA
  HnNMMjc	  000000000000000000000000019A845E  BBBB222200000000FFFFDDDDAAAA00004444CCCC222299993333
  HtYBS?i	  000000000000000000000000383B9CB7  44447777DDDDDDDD444411112222DDDDCCCC33337777CCCC8888
  I#PCvsr	  0000000000000000000000004A1A0356  6666666699999999DDDDAAAA9999DDDD0000BBBBAAAA7777BBBB
  I-&SbQ>	  0000000000000000000000002F0A1FC9  3333444400003333555555555555CCCC9999DDDD00003333EEEE
  I0WtTGH	  0000000000000000000000004C116134  4444222255550000AAAA000055556666DDDDFFFF88889999DDDD
  I72z8=V	  00000000000000000000000016A9FA92  FFFF11115555FFFFDDDD00004444CCCCEEEE333322228888FFFF
  I=9r?/d	  00000000000000000000000012D8452F  4444777733338888FFFFBBBB6666CCCC222277774444DDDD0000
  I@It@})	  0000000000000000000000003348F6E9  9999999977779999EEEE00006666666699999999AAAA1111EEEE
  IGpBVe>	  0000000000000000000000005004308D  9999DDDD9999BBBBCCCC111133330000EEEE99998888BBBBAAAA
  IHjdwz.	  000000000000000000000000013B8490  EEEE99992222000077777777AAAA555544448888777733331111
  INN|J3`	  0000000000000000000000003FBABC2A  4444EEEE000011111111DDDD99997777DDDD22225555DDDD7777
  IPTH;#J	  00000000000000000000000039446CE2  AAAA2222333344448888222255553333CCCC2222BBBB7777FFFF
  IT}.o*|	  000000000000000000000000082F6EDE  5555EEEE3333999944445555FFFFFFFFDDDD9999AAAA11113333
  IZY|ah\	  000000000000000000000000403BF1C6  DDDD66660000BBBB222299999999555588881111AAAACCCCBBBB
  Id8b'H;	  000000000000000000000000144325B0  4444CCCC6666EEEEEEEE3333AAAAEEEE00001111999999991111
  Ioq%h\H	  0000000000000000000000004DE36842  BBBBCCCC99998888DDDDAAAA22222222AAAAEEEEDDDD9999FFFF
  Iu(*Ky,	  00000000000000000000000001F61316  222299999999DDDD11115555DDDDEEEEDDDD55555555BBBBBBBB
  IwrQiLU	  0000000000000000000000001BAE8010  9999EEEE111188881111222277775555DDDDDDDDDDDDBBBB1111
  I~ M;s7	  0000000000000000000000000FC40B4A  3333CCCC11115555DDDD88881111999977772222777733337777
  J#G;Ns,	  000000000000000000000000149BCA91  6666FFFF66667777000000000000222222225555000033336666
  J*iO5/(	  00000000000000000000000032DD5D24  44446666AAAA888800009999DDDD8888333355559999EEEEDDDD
  J.J/}H$	  00000000000000000000000048B74BA2  8888111144445555BBBB44442222DDDD6666BBBB7777BBBBFFFF
  J63ByM;	  00000000000000000000000046DBDAAC  66668888AAAA1111CCCC00003333444466669999555544445555
  J<moP|y	  0000000000000000000000002B45A002  8888CCCC77770000CCCC333333332222222266664444DDDDFFFF
  J<nl;>5	  0000000000000000000000002A5166C6  00004444DDDD666622228888CCCCCCCCBBBB44449999CCCCBBBB
  J>wBDk|	  0000000000000000000000004616B3EC  000099996666BBBB2222AAAA8888EEEE44447777333300005555
  JCDXu3j	  0000000000000000000000001CAC19D6  EEEE9999DDDD99999999CCCC555566663333CCCC5555FFFFBBBB
  JHI(8%:	  0000000000000000000000001803210C  DDDD44444444BBBB4444BBBBCCCC5555BBBBEEEEFFFF66665555
  JJW7"~!	  00000000000000000000000029D273D3  EEEE11115555AAAA6666EEEE8888DDDD0000BBBB55554444CCCC
  JLTb;zu	  00000000000000000000000007BFDBE7  DDDDDDDD7777BBBB11113333FFFF111177775555CCCC99998888
  JUlIR\,	  0000000000000000000000003684A0A5  0000AAAABBBB555511116666CCCCFFFF33337777BBBB66662222
  JYy6,|8	  0000000000000000000000004BC15E36  0000AAAACCCC6666CCCC9999777766665555000099991111BBBB
  Ja9'oOG	  0000000000000000000000001063ADF8  6666CCCC111177779999333344442222FFFF2222AAAAAAAA9999
  Jo(!);c	  000000000000000000000000303ADA2E  99994444777755553333111100009999DDDDFFFF999900003333
  Jx/a]uL	  00000000000000000000000018942187  111188888888DDDD7777EEEEAAAA5555222233332222FFFF8888
  K'$Fnn{	  0000000000000000000000004DDF81CA  11116666CCCCAAAA22228888DDDDDDDD6666BBBBAAAABBBB7777
  K-{#21&	  00000000000000000000000006475E62  44447777000066660000FFFF3333FFFF55551111FFFFFFFFFFFF
  K:6ref)	  0000000000000000000000002EF34E33  EEEEBBBBAAAA6666EEEE77775555AAAAFFFFCCCC0000EEEECCCC
  KCc>1PM	  0000000000000000000000004E72723C  8888CCCC777766668888BBBBEEEE0000EEEE6666444477775555
